Severity,Structural Class,Total burned (ha),1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
High,Closed-Medium,66832.2,90.36,134.28,750.78,1862.55,0,160.83,0,1227.87,0,7274.25,87.3,317.16,0,1055.88,133.02,13.95,8138.97,6849.9,12797.28,3253.14,248.13,19700.64,1569.15,302.76,283.23,580.77
High,Closed-Big,5845.05,4.68,9.09,9,73.17,0,1.08,0,154.26,0,604.26,4.86,47.79,0,69.03,0,0,1172.61,469.08,1868.85,227.7,10.71,813.42,194.22,47.16,20.61,43.47
High,Closed-Small,49731.75,112.5,71.64,282.87,1261.26,0,145.17,0,868.14,0,4028.4,25.47,211.05,0,555.12,74.16,7.2,2787.39,6439.95,9932.13,2694.96,79.11,18876.78,663.93,128.07,142.56,343.89
High,Open-Big,2500.83,2.16,0,105.57,182.16,0,6.48,0,76.41,0,462.87,0.09,21.06,0,26.64,10.17,0,243.36,328.86,225.09,441.09,4.68,269.28,49.23,28.71,3.69,13.23
High,Open-Medium,17327.07,24.21,8.19,637.11,463.86,0,294.66,0,1640.88,0,705.42,88.56,349.92,0,103.5,107.55,0.99,1334.97,5362.2,2010.33,663.93,113.22,2239.65,559.26,113.76,92.7,412.2
High,Open-Small,15522.93,36.18,17.1,452.43,470.52,0,170.73,0,751.86,0,631.89,25.83,136.35,0,69.12,253.26,0.54,699.48,4596.66,2241.54,469.44,72.9,3302.1,371.61,165.15,51.93,536.31
High,Sparse,10504.8,46.98,9,254.79,440.19,0,59.58,0,206.28,0,614.07,6.66,73.08,0,37.17,26.73,0,732.6,2679.66,1445.4,614.52,16.29,2945.34,163.53,50.22,47.7,35.01
Mod,Closed-Medium,48314.16,151.2,184.5,377.64,1391.31,0,78.21,0.9,1350.27,0,8295.21,65.43,312.21,0,522,230.76,578.52,4909.86,5571,6675.21,2724.84,205.56,10691.1,2737.35,446.4,340.74,473.94
Mod,Closed-Big,4119.75,6.66,26.37,9,57.06,0,0.36,0,173.61,0,766.71,7.02,38.97,0,30.06,2.97,7.56,701.82,298.44,755.28,142.11,15.3,450.72,449.91,99.9,19.62,60.3
Mod,Closed-Small,31624.47,139.14,62.1,135.72,1089.81,0,120.78,1.44,991.53,0,3744.72,23.85,228.96,0,589.86,125.28,317.61,1865.7,4645.53,4041.09,2062.98,66.15,10019.16,692.1,226.35,253.26,181.35
Mod,Open-Big,3157.65,7.56,2.16,98.37,194.67,0,3.78,0.09,56.97,0,663.39,0.54,72.36,0,36.99,52.92,0.99,468.27,329.49,195.3,445.95,6.66,250.56,164.52,66.33,10.53,29.25
Mod,Open-Medium,17117.01,57.78,59.49,545.94,467.46,0,149.13,1.98,1951.83,0,1083.6,94.05,757.08,0,189.18,217.62,136.17,1459.35,3948.21,1452.78,1035.72,128.25,2420.64,374.22,189.72,189.27,207.54
Mod,Open-Small,14425.38,67.59,11.43,266.4,601.2,0,124.65,2.61,1030.77,0,1014.84,26.1,310.23,0,169.29,311.49,156.24,721.17,3872.88,1307.79,659.34,57.06,2684.16,349.02,319.05,128.79,233.28
Mod,Sparse,11682.99,76.14,22.14,184.5,585.9,0,51.48,0.9,472.05,0,1352.79,8.73,267.93,0,108.72,81.27,4.05,1191.96,2942.28,839.79,910.71,21.78,1894.5,294.39,87.12,167.67,116.19
Low,Closed-Medium,39451.14,294.75,200.88,406.08,770.31,0,36,4.86,684.72,0,9032.67,39.6,177.21,0,350.82,203.94,1465.92,4602.51,3404.43,5602.68,1890.36,146.25,5125.5,2745,633.51,388.35,1244.79
Low,Closed-Big,4102.56,19.98,32.76,15.12,88.2,0,0,2.25,60.48,0,1199.16,6.03,24.39,0,6.75,2.61,6.75,595.44,246.42,617.22,77.4,20.25,273.15,462.33,251.28,21.06,73.53
Low,Closed-Small,25217.73,417.6,87.48,215.91,508.32,0,62.55,16.2,529.74,0,4306.14,32.22,146.52,0,371.34,148.41,868.59,2262.42,2994.3,3413.43,1540.08,38.61,5124.42,843.93,295.38,406.26,587.88
Low,Open-Big,3022.47,15.93,5.04,124.29,112.68,0,2.88,0.81,34.56,0,812.88,10.8,66.69,0,61.47,112.05,17.28,391.05,228.69,235.44,185.85,3.06,169.02,221.04,90.9,21.42,98.64
Low,Open-Medium,20908.62,294.21,89.64,925.65,447.12,0,114.66,11.88,1131.21,0,1658.52,91.08,976.68,0,188.55,253.17,437.58,2024.46,3528.36,1964.16,1060.2,45.63,2533.41,1611.72,330.84,385.83,804.06
Low,Open-Small,16039.44,365.85,27.81,535.95,382.86,0,124.38,3.78,610.83,0,1317.24,35.91,408.24,0,204.93,251.82,567.63,1153.98,2899.62,1714.86,718.47,27.72,2368.71,828.18,553.14,384.39,553.14
Low,Sparse,17342.1,247.86,23.49,301.95,566.73,0,50.31,10.89,568.26,0,2641.77,34.83,1271.7,0,206.1,164.97,32.04,2029.77,3085.74,1248.75,746.1,11.61,2004.57,839.88,293.85,406.53,554.4
