Severity ,Structural Class,Total burned area (ha),1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Low,Closed-Medium,23846.13,80.01,140.22,290.88,695.25,0,7.11,1.26,374.4,0,5638.86,22.5,98.19,0,193.41,157.14,1408.77,2575.53,1869.75,3543.3,1282.5,98.73,1778.94,2048.85,509.49,188.73,842.31
Low,Closed-Big,2907.09,9.27,17.82,13.23,85.32,0,0,1.53,35.64,0,844.2,4.14,18.27,0,3.33,2.43,5.67,495.63,136.8,436.86,50.67,11.25,99,331.56,245.34,14.58,44.55
Low,Closed-Small,10931.76,129.24,15.48,146.61,360.72,0,17.28,6.66,248.4,0,2062.8,11.61,49.68,0,132.84,119.97,839.79,747.63,1623.06,1137.06,706.05,20.79,1237.59,525.96,167.76,248.49,376.29
Low,Open-Big,1989.36,12.78,0.45,35.91,97.74,0,0.36,0,10.08,0,643.14,0,18.99,0,44.73,52.56,17.1,234.9,115.11,195.21,158.22,2.25,72.09,147.51,67.68,9.54,53.01
Low,Open-Medium,8593.56,83.25,59.76,290.43,261.45,0,10.98,3.06,443.16,0,1238.67,17.55,64.26,0,36.09,98.46,423.99,788.94,1357.11,812.43,522.63,17.64,815.13,668.79,68.76,148.68,362.34
Low,Open-Small,6787.44,32.94,3.69,138.06,242.55,0,20.34,1.17,230.22,0,811.62,8.91,62.37,0,61.47,151.92,562.86,348.12,1361.7,830.43,363.15,12.69,766.44,377.37,106.92,82.62,209.88
Low,Sparse,6673.5,31.95,9.09,69.75,432.36,0,3.06,5.76,186.3,0,1640.25,1.17,40.59,0,92.34,42.93,31.68,1060.92,936.72,343.08,459.9,7.11,452.61,360.9,32.49,90.36,342.18
Mod,Closed-Medium,27490.32,45.72,122.49,237.78,1185.03,0,25.02,0.27,669.87,0,5977.26,12.42,148.5,0,322.38,138.15,522.27,2834.46,3577.95,3370.5,2029.95,141.93,3566.16,1728.81,337.95,143.91,351.54
Mod,Closed-Big,2628.18,3.42,13.68,7.29,51.12,0,0.09,0,86.04,0,582.39,1.53,36.18,0,11.52,2.25,6.12,486.36,224.55,417.96,101.88,9,147.24,294.75,92.88,9.72,42.21
Mod,Closed-Small,13660.2,51.39,19.08,94.05,748.44,0,37.8,0.81,444.6,0,2298.24,4.05,46.26,0,277.83,82.89,301.77,888.3,2658.15,1234.89,1372.77,38.97,2342.07,359.82,130.05,161.01,66.96
Mod,Open-Big,2130.93,5.49,0.45,13.86,147.42,0,0.63,0,13.14,0,540.81,0,8.91,0,25.02,28.62,0.99,334.44,148.23,140.85,388.53,5.31,107.82,142.11,49.59,3.42,25.29
Mod,Open-Medium,7595.01,13.95,49.86,145.62,275.58,0,20.7,0,740.16,0,813.06,9.99,81.45,0,65.79,70.92,124.83,658.62,1680.48,645.12,711.18,39.24,1022.4,235.71,54.45,67.14,68.76
Mod,Open-Small,6437.07,5.49,1.35,94.23,337.59,0,25.83,0,343.44,0,663.57,4.59,48.96,0,67.59,160.65,153.36,240.57,1863.54,592.92,458.91,20.07,963.9,232.02,89.37,39.15,29.97
Mod,Sparse,4877.46,4.32,9.99,39.96,379.98,0,2.88,0,153.18,0,917.46,0.99,23.13,0,34.83,27.63,3.87,614.52,980.46,217.26,613.35,10.53,492.66,217.62,31.68,27,74.16
High,Closed-Medium,25864.92,8.46,16.83,280.62,1546.2,0,36.09,0,433.71,0,4200.03,12.24,215.19,0,583.83,65.07,9.54,4424.67,3983.04,4115.61,2055.24,177.57,2220.03,1007.55,191.7,92.88,188.82
High,Closed-Big,3556.35,0.9,0.45,5.67,64.44,0,0.72,0,60.57,0,340.2,1.62,45.18,0,24.21,0,0,867.24,370.71,1283.31,138.96,8.46,112.77,148.77,40.95,5.31,35.91
High,Closed-Small,13344.39,9.18,3.96,145.44,810.99,0,28.17,0,307.35,0,1705.23,4.95,59.58,0,305.46,46.17,4.77,972,3591.09,1502.82,1458.9,62.28,1766.97,358.92,90.63,73.53,36
High,Open-Big,1309.68,1.26,0,3.33,134.91,0,1.89,0,4.41,0,288.99,0,4.14,0,14.58,4.68,0,101.07,126.72,104.31,365.85,3.51,85.14,31.68,22.23,1.17,9.81
High,Open-Medium,5866.47,5.13,4.77,141.57,263.07,0,27.27,0,391.59,0,291.69,8.55,46.35,0,45.54,38.61,0.63,591.75,2305.62,483.48,310.59,58.32,497.61,261.99,30.33,25.56,36.45
High,Open-Small,5339.79,1.08,0.09,98.1,234.36,0,20.07,0,143.37,0,296.28,4.86,22.32,0,30.96,156.15,0.45,180.09,2310.84,714.96,281.7,51.75,490.95,188.55,71.37,21.15,20.34
High,Sparse,3035.61,0.72,0.36,30.24,300.78,0,2.16,0,43.56,0,261.27,0.81,4.95,0,11.16,10.17,0,311.94,932.04,283.77,372.6,7.83,337.95,74.61,26.01,8.19,14.49
