Error-adjusted areas (fuzzy),,,,,,,,,,,,,,,,,,,,,,,,,,
CLASS,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
1,149884.74,148393.15,147925.16,147228.6,147517.26,147608.24,146671.09,147996.77,147835.62,146658.11,145386.91,143832.5,142628.78,141697.24,141449.15,141597.93,140868.9,140684.87,140009.84,139075.39,138401.62,137639.9,137186.72,137022.78,136539.54,136595.93
2,288956.46,289540.2,290778.11,292999.43,294437.5,295232.59,296414.77,296770.84,298128.2,298570.56,298247.7,297349.88,296063.31,294436.84,291824.78,290028.78,289586.54,288168.01,287805.51,285978.54,285647.43,285179.99,284258.17,283257.82,282759.4,281455.6
3,318899.85,319064.98,318966.16,318535.11,318231.6,318250.91,318051.95,318217.65,317919.43,317911.16,318176.79,318763.73,319403.45,319957.26,321262.87,319930.34,319447.84,319135.07,319126.42,320420.09,320589.2,321310.74,321712.99,321901.57,321278.51,321412.76
4,31436.5,31535.19,31623.93,31662.84,31662.47,31649.43,31707.75,31645.93,31666.81,31589.53,31540.31,31468.91,31408.36,31707.5,31603.29,33892.99,34365.09,34742.41,34901.62,34840.45,34692.1,33419.53,33047.11,32030.53,32327.74,32201.8
5,182815.3,182952.55,182545.03,181879.3,181226.62,180866.87,180839.68,180009.82,179850.74,180352.38,181034.59,181890.41,182733.76,183061.95,183135.82,183686.45,183362.67,183307.89,183688.49,184364.96,184562.91,184894.97,185215.65,185053.94,185479.13,185817.25
6,190949.88,191524.4,191217.49,190813.91,190062.77,189531.6,189459.07,188533.69,187823.46,188152.42,188862.51,189910.58,190947.75,192296.4,193848.88,194041.69,195584.78,197185,197686.06,198517.81,199317.75,200794.6,201821.61,203966.86,204841.02,205718.73
7,4269.06,4201.34,4155.91,4092.62,4073.59,4072.17,4067.49,4037.1,3987.54,3977.63,3963,3995.78,4026.39,4054.61,4087,4033.62,3995.98,3988.56,3993.86,4014.56,4000.8,3972.06,3969.54,3978.31,3986.46,4009.72
,,,,,,,,,,,,,,,,,,,,,,,,,,
2*SE Error-adjusted areas (fuzzy),,,,,,,,,,,,,,,,,,,,,,,,,,
CLASS,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
1,31799.61,31541.07,31468.87,31358.08,31416.72,31443.41,31283.84,31534.28,31514.5,31310.95,31096,30838.26,30641.92,30491.34,30475.69,30442.03,30309.38,30254.95,30142.4,30029.01,29926.41,29818.22,29750.65,29711.62,29601.19,29596.95
2,30477.83,30537.71,30564.72,30637.34,30653.42,30654.82,30729.82,30652.13,30706.08,30778.52,30821.69,30850.72,30856.97,30829.43,30711.2,30727.18,30767.8,30777.26,30816.42,30773.74,30803.89,30836.35,30851.55,30885.65,30975.51,30990.21
3,41132.26,41035.87,40955.04,40818,40764.77,40741.24,40643.58,40706.41,40643.86,40578.4,40549.19,40544.3,40575.04,40606.99,40755.57,40658.12,40606.62,40625.41,40613.95,40723.01,40737.82,40841.59,40910.52,41015.6,40995.85,41073.75
4,13295.36,13251.16,13215.47,13159.63,13133.61,13106.03,13073.94,13062.76,13034.98,12993.99,12963.52,12930.72,12915.19,12966.11,12965.48,13393.7,13500.2,13622.06,13654.02,13627.83,13607.84,13414.32,13379.86,13303.17,13401.2,13437.11
5,34075.71,34067.19,34072.31,34082.9,34100.81,34118.44,34134.37,34149.53,34198.39,34217.46,34220.47,34210.14,34198.06,34131.91,34049.52,33978.63,33878,33778.19,33775.06,33782.99,33770.49,33774.34,33761.98,33681.82,33659.36,33639.58
6,33654.71,33722.59,33757.42,33809.96,33819.87,33830.54,33852.21,33865.33,33867.21,33879.87,33902.04,33932.4,33956.82,34008.29,34106.54,33960.92,34041.18,34095.65,34106.91,34172.54,34230.48,34369.1,34438.41,34597.48,34605.31,34639.4
7,6060.63,5978.57,5926.48,5855.56,5836.09,5837.92,5835.54,5804.85,5753.14,5744,5729.99,5768.03,5802.92,5834.95,5874.98,5801.74,5754.81,5738.2,5743.01,5773.29,5758,5727.4,5723.63,5726.24,5726.72,5748.47
