Severity,Structural Class,Total burned area (ha),1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Low,Closed-Medium,9345.24,195.48,27.72,3.06,12.15,0,0,0,0.09,0,2494.8,0,1.26,0,55.26,0,0,1267.29,734.49,1504.08,318.06,1.53,2625.75,60.84,0.81,29.07,13.5
Low,Closed-Big,540.36,10.08,12.42,0.27,1.17,0,0,0,0.27,0,235.98,0,0.09,0,3.24,0,0,19.98,91.8,70.38,11.88,0.09,77.76,3.96,0.09,0.72,0.18
Low,Closed-Small,9214.83,258.66,34.02,2.7,22.41,0,0.36,0,2.52,0,1689.84,0,0,0,40.5,0,0,1015.02,378.36,1824.39,375.93,1.98,3491.1,26.64,0.36,36,14.04
Low,Open-Big,218.79,2.79,0,2.25,0.54,0,0,0,0,0,89.19,0,0.72,0,0.81,0,0,46.71,5.4,18.27,12.78,0.18,32.4,1.8,0,4.68,0.27
Low,Open-Medium,1890.63,204.12,4.5,1.26,2.79,0,1.35,0,0.27,0,185.85,0,0.63,0,10.17,0,0,258.39,27.9,446.04,50.85,0,614.52,5.4,0,73.53,3.06
Low,Open-Small,2589.03,319.32,16.2,6.03,3.6,0,1.35,0,1.26,0,221.94,0,0.99,0,6.39,0,0,382.41,69.48,569.61,72.27,3.42,787.68,3.06,0.36,118.89,4.77
Low,Sparse,2572.56,193.41,13.23,6.75,9.9,0,0.99,0,3.69,0,326.7,0,0.18,0,17.55,0,0,364.5,41.13,640.35,75.33,0.09,744.21,3.15,0,125.91,5.49
Mod,Closed-Medium,11912.58,96.12,54.9,0.27,31.23,0,0.18,0,4.32,0,1459.17,0,0.18,0,74.43,0,0,939.15,729.27,2283.3,396.99,0.99,5686.11,123.66,1.89,23.31,7.11
Mod,Closed-Big,527.67,2.79,11.97,0,1.62,0,0,0,1.62,0,112.68,0,0,0,16.02,0,0,31.5,46.35,82.53,28.53,0,181.62,7.02,0.99,1.53,0.9
Mod,Closed-Small,12118.05,74.34,35.91,0,34.74,0,0.72,0,14.13,0,966.87,0,0,0,57.78,0,0,627.48,353.52,2258.28,512.91,1.17,7085.88,60.39,0,24.48,9.45
Mod,Open-Big,250.47,1.8,0.27,1.08,1.35,0,0.09,0,0.27,0,59.4,0,0.09,0,3.96,0,0,35.64,24.75,19.08,12.24,0.27,87.03,0.72,0,2.25,0.18
Mod,Open-Medium,1887.12,41.67,4.59,0.45,2.88,0,0.72,0,1.62,0,79.56,0,0,0,11.16,0,0,192.87,40.05,455.58,57.15,0,952.38,7.38,0,38.97,0.09
Mod,Open-Small,2430.36,58.77,9,2.34,4.5,0,1.98,0,3.78,0,136.89,0,0.27,0,5.67,0,0,165.87,87.12,486.9,62.28,0.36,1368.09,6.75,0.36,28.08,1.35
Mod,Sparse,2152.71,65.52,10.71,2.97,6.39,0,0.36,0,2.61,0,155.52,0,0,0,11.43,0,0,167.94,37.17,484.65,60.66,0.45,1080.9,7.11,0,57.42,0.9
High,Closed-Medium,24613.38,77.04,115.74,0,45.45,0,0.09,0,5.94,0,1647.18,0,0,0,239.22,0,0,2167.38,927.99,6425.64,821.25,1.71,12066.03,36.63,7.38,9.99,18.72
High,Closed-Big,892.35,2.79,8.19,0,1.62,0,0,0,2.43,0,186.75,0,0,0,26.55,0,0,81.81,31.86,162.36,64.53,0,319.41,2.07,0.36,1.08,0.54
High,Closed-Small,27867.69,88.02,67.05,0,52.65,0,0.99,0,7.83,0,1265.67,0,0,0,99.99,0,0,1388.16,457.83,7156.35,1009.62,0.54,16230.96,18.36,0.63,9.27,13.77
High,Open-Big,331.02,0.9,0,0,0.81,0,0,0,0.45,0,65.61,0,0,0,7.83,0,0,43.83,35.01,41.22,32.22,0.09,102.51,0.18,0,0.18,0.18
High,Open-Medium,2801.07,18,2.97,0,0.54,0,0.36,0,4.59,0,76.14,0,0,0,10.26,0,0,166.59,36.27,876.42,102.87,0,1487.79,2.79,0,14.67,0.81
High,Open-Small,4115.16,33.48,15.39,0,2.07,0,0.9,0,1.26,0,108.45,0,0,0,3.6,0,0,135.9,79.47,1025.1,100.62,0.09,2595.87,3.42,2.16,5.13,2.25
High,Sparse,3787.29,37.71,6.84,0,1.26,0,0,0,0.99,0,147.33,0,0,0,9.09,0,0,106.65,45.36,948.96,100.17,0.72,2369.97,1.44,0,9.81,0.99
